policy_type,namespace,destination_cidr,allowed,port,protocol,peer_namespace,egress_destination_cidr,egress_allowed,ports_json,target_labels_json,peer_labels_json
Reachability,kiev,100.0.45.0/24,false,80,TCP,,,,,,
Isolation,kiev,100.0.45.0/24,false,80,TCP,,,,,,
NamespaceSelector,kiev,,false,80,TCP,ljubljana,,,,,
CombinedIngressEgress,kiev,,false,80,TCP,,100.1.45.0/24,false,,,
MultiPort,kiev,100.0.45.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 22}, {""protocol"": ""TCP"", ""port"": 443}, {""protocol"": ""TCP"", ""port"": 3306}]",,
MultiLabelSelector,kiev,,,8080,TCP,,,,,"{""app"": ""notifications"", ""tier"": ""backend""}","{""app"": ""payments"", ""tier"": ""cache""}"
Reachability,lisbon,100.0.46.0/24,true,80,TCP,,,,,,
Isolation,lisbon,100.0.46.0/24,true,80,TCP,,,,,,
NamespaceSelector,lisbon,,true,80,TCP,london,,,,,
CombinedIngressEgress,lisbon,,false,80,TCP,,100.1.46.0/24,true,,,
MultiPort,lisbon,100.0.46.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 3306}, {""protocol"": ""TCP"", ""port"": 8080}]",,
MultiLabelSelector,lisbon,,,8080,TCP,,,,,"{""app"": ""search"", ""tier"": ""cache""}","{""app"": ""gateway"", ""tier"": ""worker""}"
Reachability,ljubljana,100.0.47.0/24,false,80,TCP,,,,,,
Isolation,ljubljana,100.0.47.0/24,false,80,TCP,,,,,,
NamespaceSelector,ljubljana,,false,80,TCP,luxembourg,,,,,
CombinedIngressEgress,ljubljana,,false,80,TCP,,100.1.47.0/24,false,,,
MultiPort,ljubljana,100.0.47.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 80}, {""protocol"": ""TCP"", ""port"": 3306}, {""protocol"": ""TCP"", ""port"": 6379}]",,
MultiLabelSelector,ljubljana,,,8080,TCP,,,,,"{""app"": ""cart"", ""tier"": ""worker""}","{""app"": ""auth"", ""tier"": ""frontend""}"
Reachability,london,100.0.48.0/24,true,80,TCP,,,,,,
Isolation,london,100.0.48.0/24,true,80,TCP,,,,,,
NamespaceSelector,london,,true,80,TCP,lyon,,,,,
CombinedIngressEgress,london,,false,80,TCP,,100.1.48.0/24,true,,,
MultiPort,london,100.0.48.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 443}, {""protocol"": ""TCP"", ""port"": 6379}]",,
MultiLabelSelector,london,,,8080,TCP,,,,,"{""app"": ""payments"", ""tier"": ""frontend""}","{""app"": ""orders"", ""tier"": ""backend""}"
Reachability,luxembourg,100.0.49.0/24,false,80,TCP,,,,,,
Isolation,luxembourg,100.0.49.0/24,false,80,TCP,,,,,,
NamespaceSelector,luxembourg,,false,80,TCP,madrid,,,,,
CombinedIngressEgress,luxembourg,,false,80,TCP,,100.1.49.0/24,false,,,
MultiPort,luxembourg,100.0.49.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 80}, {""protocol"": ""TCP"", ""port"": 6379}, {""protocol"": ""TCP"", ""port"": 8080}]",,
MultiLabelSelector,luxembourg,,,8080,TCP,,,,,"{""app"": ""gateway"", ""tier"": ""backend""}","{""app"": ""inventory"", ""tier"": ""cache""}"
Reachability,lyon,100.0.0.0/24,true,80,TCP,,,,,,
Isolation,lyon,100.0.0.0/24,true,80,TCP,,,,,,
NamespaceSelector,lyon,,true,80,TCP,marseille,,,,,
CombinedIngressEgress,lyon,,false,80,TCP,,100.1.0.0/24,true,,,
MultiPort,lyon,100.0.0.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 6379}, {""protocol"": ""TCP"", ""port"": 8080}]",,
MultiLabelSelector,lyon,,,8080,TCP,,,,,"{""app"": ""auth"", ""tier"": ""cache""}","{""app"": ""notifications"", ""tier"": ""worker""}"
Reachability,madrid,100.0.1.0/24,false,80,TCP,,,,,,
Isolation,madrid,100.0.1.0/24,false,80,TCP,,,,,,
NamespaceSelector,madrid,,false,80,TCP,milan,,,,,
CombinedIngressEgress,madrid,,false,80,TCP,,100.1.1.0/24,false,,,
MultiPort,madrid,100.0.1.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 22}, {""protocol"": ""TCP"", ""port"": 3306}, {""protocol"": ""TCP"", ""port"": 8080}]",,
MultiLabelSelector,madrid,,,8080,TCP,,,,,"{""app"": ""orders"", ""tier"": ""worker""}","{""app"": ""search"", ""tier"": ""frontend""}"
Reachability,marseille,100.0.2.0/24,true,80,TCP,,,,,,
Isolation,marseille,100.0.2.0/24,true,80,TCP,,,,,,
NamespaceSelector,marseille,,true,80,TCP,paris,,,,,
CombinedIngressEgress,marseille,,false,80,TCP,,100.1.2.0/24,true,,,
MultiPort,marseille,100.0.2.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 80}, {""protocol"": ""TCP"", ""port"": 3306}]",,
MultiLabelSelector,marseille,,,8080,TCP,,,,,"{""app"": ""inventory"", ""tier"": ""frontend""}","{""app"": ""cart"", ""tier"": ""backend""}"
Reachability,milan,100.0.3.0/24,false,80,TCP,,,,,,
Isolation,milan,100.0.3.0/24,false,80,TCP,,,,,,
NamespaceSelector,milan,,false,80,TCP,praha,,,,,
CombinedIngressEgress,milan,,false,80,TCP,,100.1.3.0/24,false,,,
MultiPort,milan,100.0.3.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 22}, {""protocol"": ""TCP"", ""port"": 80}, {""protocol"": ""TCP"", ""port"": 6379}]",,
MultiLabelSelector,milan,,,8080,TCP,,,,,"{""app"": ""notifications"", ""tier"": ""backend""}","{""app"": ""payments"", ""tier"": ""cache""}"
Reachability,paris,100.0.4.0/24,true,80,TCP,,,,,,
Isolation,paris,100.0.4.0/24,true,80,TCP,,,,,,
NamespaceSelector,paris,,true,80,TCP,roma,,,,,
CombinedIngressEgress,paris,,false,80,TCP,,100.1.4.0/24,true,,,
MultiPort,paris,100.0.4.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 22}, {""protocol"": ""TCP"", ""port"": 6379}]",,
MultiLabelSelector,paris,,,8080,TCP,,,,,"{""app"": ""search"", ""tier"": ""cache""}","{""app"": ""gateway"", ""tier"": ""worker""}"
Reachability,praha,100.0.5.0/24,false,80,TCP,,,,,,
Isolation,praha,100.0.5.0/24,false,80,TCP,,,,,,
NamespaceSelector,praha,,false,80,TCP,rotterdam,,,,,
CombinedIngressEgress,praha,,false,80,TCP,,100.1.5.0/24,false,,,
MultiPort,praha,100.0.5.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 22}, {""protocol"": ""TCP"", ""port"": 80}, {""protocol"": ""TCP"", ""port"": 8080}]",,
MultiLabelSelector,praha,,,8080,TCP,,,,,"{""app"": ""cart"", ""tier"": ""worker""}","{""app"": ""auth"", ""tier"": ""frontend""}"
Reachability,roma,100.0.6.0/24,true,80,TCP,,,,,,
Isolation,roma,100.0.6.0/24,true,80,TCP,,,,,,
NamespaceSelector,roma,,true,80,TCP,sofia,,,,,
CombinedIngressEgress,roma,,false,80,TCP,,100.1.6.0/24,true,,,
MultiPort,roma,100.0.6.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 443}, {""protocol"": ""TCP"", ""port"": 8080}]",,
MultiLabelSelector,roma,,,8080,TCP,,,,,"{""app"": ""payments"", ""tier"": ""frontend""}","{""app"": ""orders"", ""tier"": ""backend""}"
Reachability,rotterdam,100.0.7.0/24,false,80,TCP,,,,,,
Isolation,rotterdam,100.0.7.0/24,false,80,TCP,,,,,,
NamespaceSelector,rotterdam,,false,80,TCP,stockholm,,,,,
CombinedIngressEgress,rotterdam,,false,80,TCP,,100.1.7.0/24,false,,,
MultiPort,rotterdam,100.0.7.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 22}, {""protocol"": ""TCP"", ""port"": 80}, {""protocol"": ""TCP"", ""port"": 443}]",,
MultiLabelSelector,rotterdam,,,8080,TCP,,,,,"{""app"": ""gateway"", ""tier"": ""backend""}","{""app"": ""inventory"", ""tier"": ""cache""}"
Reachability,sofia,100.0.8.0/24,true,80,TCP,,,,,,
Isolation,sofia,100.0.8.0/24,true,80,TCP,,,,,,
NamespaceSelector,sofia,,true,80,TCP,strasbourg,,,,,
CombinedIngressEgress,sofia,,false,80,TCP,,100.1.8.0/24,true,,,
MultiPort,sofia,100.0.8.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 80}, {""protocol"": ""TCP"", ""port"": 3306}]",,
MultiLabelSelector,sofia,,,8080,TCP,,,,,"{""app"": ""auth"", ""tier"": ""cache""}","{""app"": ""notifications"", ""tier"": ""worker""}"
Reachability,stockholm,100.0.9.0/24,false,80,TCP,,,,,,
Isolation,stockholm,100.0.9.0/24,false,80,TCP,,,,,,
NamespaceSelector,stockholm,,false,80,TCP,vaduz,,,,,
CombinedIngressEgress,stockholm,,false,80,TCP,,100.1.9.0/24,false,,,
MultiPort,stockholm,100.0.9.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 22}, {""protocol"": ""TCP"", ""port"": 443}, {""protocol"": ""TCP"", ""port"": 6379}]",,
MultiLabelSelector,stockholm,,,8080,TCP,,,,,"{""app"": ""orders"", ""tier"": ""worker""}","{""app"": ""search"", ""tier"": ""frontend""}"
Reachability,strasbourg,100.0.10.0/24,true,80,TCP,,,,,,
Isolation,strasbourg,100.0.10.0/24,true,80,TCP,,,,,,
NamespaceSelector,strasbourg,,true,80,TCP,vienna,,,,,
CombinedIngressEgress,strasbourg,,false,80,TCP,,100.1.10.0/24,true,,,
MultiPort,strasbourg,100.0.10.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 22}, {""protocol"": ""TCP"", ""port"": 443}]",,
MultiLabelSelector,strasbourg,,,8080,TCP,,,,,"{""app"": ""inventory"", ""tier"": ""frontend""}","{""app"": ""cart"", ""tier"": ""backend""}"
Reachability,vaduz,100.0.11.0/24,false,80,TCP,,,,,,
Isolation,vaduz,100.0.11.0/24,false,80,TCP,,,,,,
NamespaceSelector,vaduz,,false,80,TCP,warsaw,,,,,
CombinedIngressEgress,vaduz,,false,80,TCP,,100.1.11.0/24,false,,,
MultiPort,vaduz,100.0.11.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 80}, {""protocol"": ""TCP"", ""port"": 443}, {""protocol"": ""TCP"", ""port"": 3306}]",,
MultiLabelSelector,vaduz,,,8080,TCP,,,,,"{""app"": ""notifications"", ""tier"": ""backend""}","{""app"": ""payments"", ""tier"": ""cache""}"
Reachability,vienna,100.0.12.0/24,true,80,TCP,,,,,,
Isolation,vienna,100.0.12.0/24,true,80,TCP,,,,,,
NamespaceSelector,vienna,,true,80,TCP,zagreb,,,,,
CombinedIngressEgress,vienna,,false,80,TCP,,100.1.12.0/24,true,,,
MultiPort,vienna,100.0.12.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 22}, {""protocol"": ""TCP"", ""port"": 3306}]",,
MultiLabelSelector,vienna,,,8080,TCP,,,,,"{""app"": ""search"", ""tier"": ""cache""}","{""app"": ""gateway"", ""tier"": ""worker""}"
Reachability,warsaw,100.0.13.0/24,false,80,TCP,,,,,,
Isolation,warsaw,100.0.13.0/24,false,80,TCP,,,,,,
NamespaceSelector,warsaw,,false,80,TCP,zurich,,,,,
CombinedIngressEgress,warsaw,,false,80,TCP,,100.1.13.0/24,false,,,
MultiPort,warsaw,100.0.13.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 80}, {""protocol"": ""TCP"", ""port"": 3306}, {""protocol"": ""TCP"", ""port"": 8080}]",,
MultiLabelSelector,warsaw,,,8080,TCP,,,,,"{""app"": ""cart"", ""tier"": ""worker""}","{""app"": ""auth"", ""tier"": ""frontend""}"
Reachability,zagreb,100.0.14.0/24,true,80,TCP,,,,,,
Isolation,zagreb,100.0.14.0/24,true,80,TCP,,,,,,
NamespaceSelector,zagreb,,true,80,TCP,amsterdam,,,,,
CombinedIngressEgress,zagreb,,false,80,TCP,,100.1.14.0/24,true,,,
MultiPort,zagreb,100.0.14.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 22}, {""protocol"": ""TCP"", ""port"": 6379}]",,
MultiLabelSelector,zagreb,,,8080,TCP,,,,,"{""app"": ""payments"", ""tier"": ""frontend""}","{""app"": ""orders"", ""tier"": ""backend""}"
Reachability,zurich,100.0.15.0/24,false,80,TCP,,,,,,
Isolation,zurich,100.0.15.0/24,false,80,TCP,,,,,,
NamespaceSelector,zurich,,false,80,TCP,athens,,,,,
CombinedIngressEgress,zurich,,false,80,TCP,,100.1.15.0/24,false,,,
MultiPort,zurich,100.0.15.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 80}, {""protocol"": ""TCP"", ""port"": 443}, {""protocol"": ""TCP"", ""port"": 6379}]",,
MultiLabelSelector,zurich,,,8080,TCP,,,,,"{""app"": ""gateway"", ""tier"": ""backend""}","{""app"": ""inventory"", ""tier"": ""cache""}"
Reachability,amsterdam,100.0.16.0/24,true,80,TCP,,,,,,
Isolation,amsterdam,100.0.16.0/24,true,80,TCP,,,,,,
NamespaceSelector,amsterdam,,true,80,TCP,basel,,,,,
CombinedIngressEgress,amsterdam,,false,80,TCP,,100.1.16.0/24,true,,,
MultiPort,amsterdam,100.0.16.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 80}, {""protocol"": ""TCP"", ""port"": 3306}]",,
MultiLabelSelector,amsterdam,,,8080,TCP,,,,,"{""app"": ""auth"", ""tier"": ""cache""}","{""app"": ""notifications"", ""tier"": ""worker""}"
Reachability,athens,100.0.17.0/24,false,80,TCP,,,,,,
Isolation,athens,100.0.17.0/24,false,80,TCP,,,,,,
NamespaceSelector,athens,,false,80,TCP,bratislava,,,,,
CombinedIngressEgress,athens,,false,80,TCP,,100.1.17.0/24,false,,,
MultiPort,athens,100.0.17.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 80}, {""protocol"": ""TCP"", ""port"": 6379}, {""protocol"": ""TCP"", ""port"": 8080}]",,
MultiLabelSelector,athens,,,8080,TCP,,,,,"{""app"": ""orders"", ""tier"": ""worker""}","{""app"": ""search"", ""tier"": ""frontend""}"
Reachability,barcelona,100.0.18.0/24,true,80,TCP,,,,,,
Isolation,barcelona,100.0.18.0/24,true,80,TCP,,,,,,
NamespaceSelector,barcelona,,true,80,TCP,brussels,,,,,
CombinedIngressEgress,barcelona,,false,80,TCP,,100.1.18.0/24,true,,,
MultiPort,barcelona,100.0.18.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 443}, {""protocol"": ""TCP"", ""port"": 3306}]",,
MultiLabelSelector,barcelona,,,8080,TCP,,,,,"{""app"": ""inventory"", ""tier"": ""frontend""}","{""app"": ""cart"", ""tier"": ""backend""}"
Reachability,basel,100.0.19.0/24,false,80,TCP,,,,,,
Isolation,basel,100.0.19.0/24,false,80,TCP,,,,,,
NamespaceSelector,basel,,false,80,TCP,bucharest,,,,,
CombinedIngressEgress,basel,,false,80,TCP,,100.1.19.0/24,false,,,
MultiPort,basel,100.0.19.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 443}, {""protocol"": ""TCP"", ""port"": 6379}, {""protocol"": ""TCP"", ""port"": 8080}]",,
MultiLabelSelector,basel,,,8080,TCP,,,,,"{""app"": ""notifications"", ""tier"": ""backend""}","{""app"": ""payments"", ""tier"": ""cache""}"
Reachability,bratislava,100.0.20.0/24,true,80,TCP,,,,,,
Isolation,bratislava,100.0.20.0/24,true,80,TCP,,,,,,
NamespaceSelector,bratislava,,true,80,TCP,budapest,,,,,
CombinedIngressEgress,bratislava,,false,80,TCP,,100.1.20.0/24,true,,,
MultiPort,bratislava,100.0.20.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 22}, {""protocol"": ""TCP"", ""port"": 3306}]",,
MultiLabelSelector,bratislava,,,8080,TCP,,,,,"{""app"": ""search"", ""tier"": ""cache""}","{""app"": ""gateway"", ""tier"": ""worker""}"
Reachability,brussels,100.0.21.0/24,false,80,TCP,,,,,,
Isolation,brussels,100.0.21.0/24,false,80,TCP,,,,,,
NamespaceSelector,brussels,,false,80,TCP,dublin,,,,,
CombinedIngressEgress,brussels,,false,80,TCP,,100.1.21.0/24,false,,,
MultiPort,brussels,100.0.21.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 443}, {""protocol"": ""TCP"", ""port"": 3306}, {""protocol"": ""TCP"", ""port"": 8080}]",,
MultiLabelSelector,brussels,,,8080,TCP,,,,,"{""app"": ""cart"", ""tier"": ""worker""}","{""app"": ""auth"", ""tier"": ""frontend""}"
Reachability,bucharest,100.0.22.0/24,true,80,TCP,,,,,,
Isolation,bucharest,100.0.22.0/24,true,80,TCP,,,,,,
NamespaceSelector,bucharest,,true,80,TCP,frankfurt,,,,,
CombinedIngressEgress,bucharest,,false,80,TCP,,100.1.22.0/24,true,,,
MultiPort,bucharest,100.0.22.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 443}, {""protocol"": ""TCP"", ""port"": 3306}]",,
MultiLabelSelector,bucharest,,,8080,TCP,,,,,"{""app"": ""payments"", ""tier"": ""frontend""}","{""app"": ""orders"", ""tier"": ""backend""}"
Reachability,budapest,100.0.23.0/24,false,80,TCP,,,,,,
Isolation,budapest,100.0.23.0/24,false,80,TCP,,,,,,
NamespaceSelector,budapest,,false,80,TCP,geneva,,,,,
CombinedIngressEgress,budapest,,false,80,TCP,,100.1.23.0/24,false,,,
MultiPort,budapest,100.0.23.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 22}, {""protocol"": ""TCP"", ""port"": 6379}, {""protocol"": ""TCP"", ""port"": 8080}]",,
MultiLabelSelector,budapest,,,8080,TCP,,,,,"{""app"": ""gateway"", ""tier"": ""backend""}","{""app"": ""inventory"", ""tier"": ""cache""}"
Reachability,dublin,100.0.24.0/24,true,80,TCP,,,,,,
Isolation,dublin,100.0.24.0/24,true,80,TCP,,,,,,
NamespaceSelector,dublin,,true,80,TCP,istanbul,,,,,
CombinedIngressEgress,dublin,,false,80,TCP,,100.1.24.0/24,true,,,
MultiPort,dublin,100.0.24.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 22}, {""protocol"": ""TCP"", ""port"": 6379}]",,
MultiLabelSelector,dublin,,,8080,TCP,,,,,"{""app"": ""auth"", ""tier"": ""cache""}","{""app"": ""notifications"", ""tier"": ""worker""}"
Reachability,frankfurt,100.0.25.0/24,false,80,TCP,,,,,,
Isolation,frankfurt,100.0.25.0/24,false,80,TCP,,,,,,
NamespaceSelector,frankfurt,,false,80,TCP,kiev,,,,,
CombinedIngressEgress,frankfurt,,false,80,TCP,,100.1.25.0/24,false,,,
MultiPort,frankfurt,100.0.25.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 3306}, {""protocol"": ""TCP"", ""port"": 6379}, {""protocol"": ""TCP"", ""port"": 8080}]",,
MultiLabelSelector,frankfurt,,,8080,TCP,,,,,"{""app"": ""orders"", ""tier"": ""worker""}","{""app"": ""search"", ""tier"": ""frontend""}"
Reachability,geneva,100.0.26.0/24,true,80,TCP,,,,,,
Isolation,geneva,100.0.26.0/24,true,80,TCP,,,,,,
NamespaceSelector,geneva,,true,80,TCP,lisbon,,,,,
CombinedIngressEgress,geneva,,false,80,TCP,,100.1.26.0/24,true,,,
MultiPort,geneva,100.0.26.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 80}, {""protocol"": ""TCP"", ""port"": 443}]",,
MultiLabelSelector,geneva,,,8080,TCP,,,,,"{""app"": ""inventory"", ""tier"": ""frontend""}","{""app"": ""cart"", ""tier"": ""backend""}"
Reachability,istanbul,100.0.27.0/24,false,80,TCP,,,,,,
Isolation,istanbul,100.0.27.0/24,false,80,TCP,,,,,,
NamespaceSelector,istanbul,,false,80,TCP,ljubljana,,,,,
CombinedIngressEgress,istanbul,,false,80,TCP,,100.1.27.0/24,false,,,
MultiPort,istanbul,100.0.27.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 22}, {""protocol"": ""TCP"", ""port"": 80}, {""protocol"": ""TCP"", ""port"": 443}]",,
MultiLabelSelector,istanbul,,,8080,TCP,,,,,"{""app"": ""notifications"", ""tier"": ""backend""}","{""app"": ""payments"", ""tier"": ""cache""}"
Reachability,kiev,100.0.28.0/24,true,80,TCP,,,,,,
Isolation,kiev,100.0.28.0/24,true,80,TCP,,,,,,
NamespaceSelector,kiev,,true,80,TCP,london,,,,,
CombinedIngressEgress,kiev,,false,80,TCP,,100.1.28.0/24,true,,,
MultiPort,kiev,100.0.28.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 80}, {""protocol"": ""TCP"", ""port"": 3306}]",,
MultiLabelSelector,kiev,,,8080,TCP,,,,,"{""app"": ""search"", ""tier"": ""cache""}","{""app"": ""gateway"", ""tier"": ""worker""}"
Reachability,lisbon,100.0.29.0/24,false,80,TCP,,,,,,
Isolation,lisbon,100.0.29.0/24,false,80,TCP,,,,,,
NamespaceSelector,lisbon,,false,80,TCP,luxembourg,,,,,
CombinedIngressEgress,lisbon,,false,80,TCP,,100.1.29.0/24,false,,,
MultiPort,lisbon,100.0.29.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 443}, {""protocol"": ""TCP"", ""port"": 3306}, {""protocol"": ""TCP"", ""port"": 6379}]",,
MultiLabelSelector,lisbon,,,8080,TCP,,,,,"{""app"": ""cart"", ""tier"": ""worker""}","{""app"": ""auth"", ""tier"": ""frontend""}"
Reachability,ljubljana,100.0.30.0/24,true,80,TCP,,,,,,
Isolation,ljubljana,100.0.30.0/24,true,80,TCP,,,,,,
NamespaceSelector,ljubljana,,true,80,TCP,lyon,,,,,
CombinedIngressEgress,ljubljana,,false,80,TCP,,100.1.30.0/24,true,,,
MultiPort,ljubljana,100.0.30.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 80}, {""protocol"": ""TCP"", ""port"": 6379}]",,
MultiLabelSelector,ljubljana,,,8080,TCP,,,,,"{""app"": ""payments"", ""tier"": ""frontend""}","{""app"": ""orders"", ""tier"": ""backend""}"
Reachability,london,100.0.31.0/24,false,80,TCP,,,,,,
Isolation,london,100.0.31.0/24,false,80,TCP,,,,,,
NamespaceSelector,london,,false,80,TCP,madrid,,,,,
CombinedIngressEgress,london,,false,80,TCP,,100.1.31.0/24,false,,,
MultiPort,london,100.0.31.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 80}, {""protocol"": ""TCP"", ""port"": 443}, {""protocol"": ""TCP"", ""port"": 6379}]",,
MultiLabelSelector,london,,,8080,TCP,,,,,"{""app"": ""gateway"", ""tier"": ""backend""}","{""app"": ""inventory"", ""tier"": ""cache""}"
Reachability,luxembourg,100.0.32.0/24,true,80,TCP,,,,,,
Isolation,luxembourg,100.0.32.0/24,true,80,TCP,,,,,,
NamespaceSelector,luxembourg,,true,80,TCP,marseille,,,,,
CombinedIngressEgress,luxembourg,,false,80,TCP,,100.1.32.0/24,true,,,
MultiPort,luxembourg,100.0.32.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 80}, {""protocol"": ""TCP"", ""port"": 6379}]",,
MultiLabelSelector,luxembourg,,,8080,TCP,,,,,"{""app"": ""auth"", ""tier"": ""cache""}","{""app"": ""notifications"", ""tier"": ""worker""}"
Reachability,lyon,100.0.33.0/24,false,80,TCP,,,,,,
Isolation,lyon,100.0.33.0/24,false,80,TCP,,,,,,
NamespaceSelector,lyon,,false,80,TCP,milan,,,,,
CombinedIngressEgress,lyon,,false,80,TCP,,100.1.33.0/24,false,,,
MultiPort,lyon,100.0.33.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 22}, {""protocol"": ""TCP"", ""port"": 80}, {""protocol"": ""TCP"", ""port"": 443}]",,
MultiLabelSelector,lyon,,,8080,TCP,,,,,"{""app"": ""orders"", ""tier"": ""worker""}","{""app"": ""search"", ""tier"": ""frontend""}"
Reachability,madrid,100.0.34.0/24,true,80,TCP,,,,,,
Isolation,madrid,100.0.34.0/24,true,80,TCP,,,,,,
NamespaceSelector,madrid,,true,80,TCP,paris,,,,,
CombinedIngressEgress,madrid,,false,80,TCP,,100.1.34.0/24,true,,,
MultiPort,madrid,100.0.34.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 22}, {""protocol"": ""TCP"", ""port"": 8080}]",,
MultiLabelSelector,madrid,,,8080,TCP,,,,,"{""app"": ""inventory"", ""tier"": ""frontend""}","{""app"": ""cart"", ""tier"": ""backend""}"
Reachability,marseille,100.0.35.0/24,false,80,TCP,,,,,,
Isolation,marseille,100.0.35.0/24,false,80,TCP,,,,,,
NamespaceSelector,marseille,,false,80,TCP,praha,,,,,
CombinedIngressEgress,marseille,,false,80,TCP,,100.1.35.0/24,false,,,
MultiPort,marseille,100.0.35.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 443}, {""protocol"": ""TCP"", ""port"": 3306}, {""protocol"": ""TCP"", ""port"": 6379}]",,
MultiLabelSelector,marseille,,,8080,TCP,,,,,"{""app"": ""notifications"", ""tier"": ""backend""}","{""app"": ""payments"", ""tier"": ""cache""}"
Reachability,milan,100.0.36.0/24,true,80,TCP,,,,,,
Isolation,milan,100.0.36.0/24,true,80,TCP,,,,,,
NamespaceSelector,milan,,true,80,TCP,roma,,,,,
CombinedIngressEgress,milan,,false,80,TCP,,100.1.36.0/24,true,,,
MultiPort,milan,100.0.36.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 3306}, {""protocol"": ""TCP"", ""port"": 6379}]",,
MultiLabelSelector,milan,,,8080,TCP,,,,,"{""app"": ""search"", ""tier"": ""cache""}","{""app"": ""gateway"", ""tier"": ""worker""}"
Reachability,paris,100.0.37.0/24,false,80,TCP,,,,,,
Isolation,paris,100.0.37.0/24,false,80,TCP,,,,,,
NamespaceSelector,paris,,false,80,TCP,rotterdam,,,,,
CombinedIngressEgress,paris,,false,80,TCP,,100.1.37.0/24,false,,,
MultiPort,paris,100.0.37.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 443}, {""protocol"": ""TCP"", ""port"": 3306}, {""protocol"": ""TCP"", ""port"": 8080}]",,
MultiLabelSelector,paris,,,8080,TCP,,,,,"{""app"": ""cart"", ""tier"": ""worker""}","{""app"": ""auth"", ""tier"": ""frontend""}"
Reachability,praha,100.0.38.0/24,true,80,TCP,,,,,,
Isolation,praha,100.0.38.0/24,true,80,TCP,,,,,,
NamespaceSelector,praha,,true,80,TCP,sofia,,,,,
CombinedIngressEgress,praha,,false,80,TCP,,100.1.38.0/24,true,,,
MultiPort,praha,100.0.38.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 6379}, {""protocol"": ""TCP"", ""port"": 8080}]",,
MultiLabelSelector,praha,,,8080,TCP,,,,,"{""app"": ""payments"", ""tier"": ""frontend""}","{""app"": ""orders"", ""tier"": ""backend""}"
Reachability,roma,100.0.39.0/24,false,80,TCP,,,,,,
Isolation,roma,100.0.39.0/24,false,80,TCP,,,,,,
NamespaceSelector,roma,,false,80,TCP,stockholm,,,,,
CombinedIngressEgress,roma,,false,80,TCP,,100.1.39.0/24,false,,,
MultiPort,roma,100.0.39.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 80}, {""protocol"": ""TCP"", ""port"": 443}, {""protocol"": ""TCP"", ""port"": 3306}]",,
MultiLabelSelector,roma,,,8080,TCP,,,,,"{""app"": ""gateway"", ""tier"": ""backend""}","{""app"": ""inventory"", ""tier"": ""cache""}"
Reachability,rotterdam,100.0.40.0/24,true,80,TCP,,,,,,
Isolation,rotterdam,100.0.40.0/24,true,80,TCP,,,,,,
NamespaceSelector,rotterdam,,true,80,TCP,strasbourg,,,,,
